6.69e-03,2.92e-02,5.00e-01,8.51e-03,8.29e-01,2.02e-02,8.51e-03,1.48e-01,7.95e-03,7.27e-01,8.51e-03,5.82e-01,8.51e-03,9.93e-01,9.93e-01,9.93e-01
2.92e-02,6.69e-03,7.48e-01,5.71e-01,6.05e-01,3.24e-01,8.93e-01,3.89e-01,4.86e-01,3.86e-01,5.82e-01,4.61e-01,7.36e-01,9.93e-01,9.93e-01,9.93e-01
5.00e-01,7.48e-01,6.69e-03,5.00e-01,3.94e-01,5.26e-01,5.00e-01,7.31e-03,5.00e-01,2.02e-01,5.00e-01,5.98e-01,5.00e-01,9.93e-01,9.93e-01,9.93e-01
8.51e-03,5.71e-01,5.00e-01,6.69e-03,4.29e-01,8.20e-03,7.44e-03,1.48e-01,7.44e-03,7.96e-01,7.78e-03,6.30e-01,7.44e-03,9.93e-01,9.93e-01,9.93e-01
8.29e-01,6.05e-01,3.94e-01,4.29e-01,6.69e-03,3.54e-01,9.46e-01,2.83e-01,7.15e-01,1.25e-01,8.99e-01,4.14e-01,8.62e-01,9.93e-01,9.93e-01,9.93e-01
2.02e-02,3.24e-01,5.26e-01,8.20e-03,3.54e-01,6.69e-03,2.02e-02,1.48e-01,2.02e-02,3.52e-01,7.61e-03,4.87e-01,2.02e-02,9.93e-01,9.93e-01,9.93e-01
8.51e-03,8.93e-01,5.00e-01,7.44e-03,9.46e-01,2.02e-02,6.69e-03,1.48e-01,7.24e-03,6.34e-01,7.78e-03,9.27e-01,7.21e-03,9.93e-01,9.93e-01,9.93e-01
1.48e-01,3.89e-01,7.31e-03,1.48e-01,2.83e-01,1.48e-01,1.48e-01,6.69e-03,1.48e-01,1.46e-01,1.48e-01,6.18e-01,1.48e-01,9.93e-01,9.93e-01,9.93e-01
7.95e-03,4.86e-01,5.00e-01,7.44e-03,7.15e-01,2.02e-02,7.24e-03,1.48e-01,6.69e-03,2.36e-01,7.78e-03,4.97e-01,7.24e-03,9.93e-01,9.93e-01,9.93e-01
7.27e-01,3.86e-01,2.02e-01,7.96e-01,1.25e-01,3.52e-01,6.34e-01,1.46e-01,2.36e-01,6.69e-03,7.47e-01,3.77e-01,2.84e-01,9.93e-01,9.93e-01,9.93e-01
8.51e-03,5.82e-01,5.00e-01,7.78e-03,8.99e-01,7.61e-03,7.78e-03,1.48e-01,7.78e-03,7.47e-01,6.69e-03,7.27e-01,7.78e-03,9.93e-01,9.93e-01,9.93e-01
5.82e-01,4.61e-01,5.98e-01,6.30e-01,4.14e-01,4.87e-01,9.27e-01,6.18e-01,4.97e-01,3.77e-01,7.27e-01,6.69e-03,7.25e-01,9.93e-01,9.93e-01,9.93e-01
8.51e-03,7.36e-01,5.00e-01,7.44e-03,8.62e-01,2.02e-02,7.21e-03,1.48e-01,7.24e-03,2.84e-01,7.78e-03,7.25e-01,6.69e-03,9.93e-01,9.93e-01,9.93e-01
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,6.69e-03,7.50e-03,7.19e-03
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,7.50e-03,6.69e-03,7.50e-03
9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,7.19e-03,7.50e-03,6.69e-03
